id,id_infraestructura,id_nodo,amenaza,probabilidad_falla,sucede_falla
175,978830252.0,,cierre_calle,0.01,False
176,10.0,,cierre_calle,0.01,False
177,11.0,,cierre_calle,0.01,False
178,656.0,,cierre_calle,0.01,False
179,818.0,,cierre_calle,0.01,False
180,1849.0,,cierre_calle,0.01,False
181,1851.0,,cierre_calle,0.01,False
182,1953.0,,cierre_calle,0.01,True
183,1954.0,,cierre_calle,0.01,False
184,1955.0,,cierre_calle,0.01,False
185,1956.0,,cierre_calle,0.01,False
186,1957.0,,cierre_calle,0.01,False
187,645780839.0,,cierre_calle,0.01,False
188,1648.0,,cierre_calle,0.01,False
189,8000322.0,,cierre_calle,0.01,False
190,12.0,,cierre_calle,0.01,False
191,8000492.0,,cierre_calle,0.01,False
192,208159361.0,,cierre_calle,0.01,False
193,482134480.0,,cierre_calle,0.01,False
194,482780287.0,,cierre_calle,0.01,False
195,519185503.0,,cierre_calle,0.01,False
196,14.0,,cierre_calle,0.01,False
197,788.0,,cierre_calle,0.01,False
198,1440.0,,cierre_calle,0.01,False
199,1452.0,,cierre_calle,0.01,False
200,1488.0,,cierre_calle,0.01,False
201,1489.0,,cierre_calle,0.01,False
202,1185363272.0,,cierre_calle,0.01,False
203,2462.0,,cierre_calle,0.01,False
204,769739557.0,,cierre_calle,0.01,False
205,1794.0,,cierre_calle,0.01,False
206,8000667.0,,cierre_calle,0.01,False
207,24446001.0,,cierre_calle,0.01,False
208,39505779.0,,cierre_calle,0.01,False
209,132406995.0,,cierre_calle,0.01,False
210,299493692.0,,cierre_calle,0.01,False
211,323913761.0,,cierre_calle,0.01,False
212,453310300.0,,cierre_calle,0.01,False
213,627807808.0,,cierre_calle,0.01,False
214,712846398.0,,cierre_calle,0.01,False
215,712846399.0,,cierre_calle,0.01,False
216,854444101.0,,cierre_calle,0.01,False
217,1169524651.0,,cierre_calle,0.01,False
218,1180907452.0,,cierre_calle,0.01,False
219,1193073308.0,,cierre_calle,0.01,False
220,1193073309.0,,cierre_calle,0.01,False
221,1292997021.0,,cierre_calle,0.01,False
222,15.0,,cierre_calle,0.01,False
223,16.0,,cierre_calle,0.01,False
224,347.0,,cierre_calle,0.01,False
225,506.0,,cierre_calle,0.01,False
226,507.0,,cierre_calle,0.01,False
227,508.0,,cierre_calle,0.01,False
228,509.0,,cierre_calle,0.01,False
229,510.0,,cierre_calle,0.01,False
230,511.0,,cierre_calle,0.01,True
231,512.0,,cierre_calle,0.01,False
232,674.0,,cierre_calle,0.01,False
233,967.0,,cierre_calle,0.01,False
234,968.0,,cierre_calle,0.01,False
235,986.0,,cierre_calle,0.01,False
236,1425.0,,cierre_calle,0.01,False
237,1597.0,,cierre_calle,0.01,False
238,1772.0,,cierre_calle,0.01,False
239,1773.0,,cierre_calle,0.01,False
240,1774.0,,cierre_calle,0.01,False
241,1854.0,,cierre_calle,0.01,False
242,1855.0,,cierre_calle,0.01,False
243,1856.0,,cierre_calle,0.01,False
244,2448.0,,cierre_calle,0.01,False
245,2456.0,,cierre_calle,0.01,False
246,2538.0,,cierre_calle,0.01,False
247,2539.0,,cierre_calle,0.01,False
248,2661.0,,cierre_calle,0.01,False
249,447275905.0,,cierre_calle,0.01,False
250,1180907451.0,,cierre_calle,0.01,False
251,1206.0,,cierre_calle,0.01,False
252,2455.0,,cierre_calle,0.01,False
253,8000688.0,,cierre_calle,0.01,False
254,333924613.0,,cierre_calle,0.01,False
255,1012625457.0,,cierre_calle,0.01,False
256,1012625458.0,,cierre_calle,0.01,False
257,1210796336.0,,cierre_calle,0.01,False
258,1210796337.0,,cierre_calle,0.01,False
259,1301615803.0,,cierre_calle,0.01,False
260,1301615804.0,,cierre_calle,0.01,False
261,1301615809.0,,cierre_calle,0.01,False
262,1301615810.0,,cierre_calle,0.01,False
263,17.0,,cierre_calle,0.01,False
264,18.0,,cierre_calle,0.01,False
265,19.0,,cierre_calle,0.01,False
266,1006.0,,cierre_calle,0.01,False
267,1007.0,,cierre_calle,0.01,False
268,1008.0,,cierre_calle,0.01,False
269,1009.0,,cierre_calle,0.01,False
270,1010.0,,cierre_calle,0.01,False
271,1011.0,,cierre_calle,0.01,False
272,1012.0,,cierre_calle,0.01,False
273,1013.0,,cierre_calle,0.01,False
274,1014.0,,cierre_calle,0.01,False
275,2338.0,,cierre_calle,0.01,False
276,2339.0,,cierre_calle,0.01,False
277,2577.0,,cierre_calle,0.01,False
278,2578.0,,cierre_calle,0.01,False
279,2674.0,,cierre_calle,0.01,False
280,2675.0,,cierre_calle,0.01,False
281,2676.0,,cierre_calle,0.01,False
282,2677.0,,cierre_calle,0.01,False
283,8000698.0,,cierre_calle,0.01,False
284,208159358.0,,cierre_calle,0.01,False
