id,id_infraestructura,id_nodo,amenaza,probabilidad_falla,sucede_falla
17253,24400745.0,,seguridad,0.17161820480404552,True
17265,210788385.0,,seguridad,0.17161820480404552,True
17305,910.0,,seguridad,0.17161820480404552,True
17509,2167.0,,seguridad,0.17161820480404552,True
17511,2417.0,,seguridad,0.17161820480404552,True
17525,3420.0,,seguridad,0.17161820480404552,True
17549,608470235.0,,seguridad,0.17161820480404552,True
17656,4162.0,,seguridad,0.17161820480404552,True
18491,188511569.0,,seguridad,0.17161820480404552,True
18506,1036292276.0,,seguridad,0.17161820480404552,True
21065,253619870.0,,seguridad,0.5,True
21090,449627061.0,,seguridad,0.5,True
21105,1189267609.0,,seguridad,0.5,True
21169,4666.0,,seguridad,0.5,True
21176,14063331.0,,seguridad,0.5,True
21876,586971336.0,,seguridad,0.5,True
21877,981061928.0,,seguridad,0.5,True
21881,4172.0,,seguridad,0.5,True
21883,4256.0,,seguridad,0.5,True
21884,5041.0,,seguridad,0.5,True
21886,5231.0,,seguridad,0.5,True
22128,259.0,,seguridad,0.5,True
22149,4213.0,,seguridad,0.5,True
22157,443040347.0,,seguridad,0.5,True
22158,3362.0,,seguridad,0.5,True
22159,617412966.0,,seguridad,0.5,True
22160,4349.0,,seguridad,0.5,True
22162,23225724.0,,seguridad,0.5,True
22165,261734676.0,,seguridad,0.5,True
22172,476.0,,seguridad,0.5,True
22178,1905.0,,seguridad,0.5,True
22183,2772.0,,seguridad,0.5,True
22195,208854361.0,,seguridad,0.5,True
22197,141330445.0,,seguridad,0.5,True
22198,1803.0,,seguridad,0.5,True
22334,23395436.0,,seguridad,0.5,True
22356,19805764.0,,seguridad,0.5,True
22378,19805766.0,,seguridad,0.5,True
22394,260.0,,seguridad,0.5,True
22430,2451.0,,seguridad,0.5,True
22479,23395466.0,,seguridad,0.5,True
22543,447.0,,seguridad,0.5,True
22566,626.0,,seguridad,0.5,True
22842,449484157.0,,seguridad,0.5,True
22847,923849559.0,,seguridad,0.5,True
22862,165.0,,seguridad,0.5,True
22872,3839.0,,seguridad,0.5,True
22873,3874.0,,seguridad,0.5,True
22881,4914.0,,seguridad,0.5,True
22890,4811.0,,seguridad,0.5,True
23602,23225768.0,,seguridad,0.5,True
23618,475.0,,seguridad,0.5,True
1,8000218.0,,cierre_calle,0.1,True
3,36978461.0,,cierre_calle,0.1,True
4,47324142.0,,cierre_calle,0.1,True
24,2090.0,,cierre_calle,0.1,True
32,3752.0,,cierre_calle,0.1,True
33,3753.0,,cierre_calle,0.1,True
40,4714.0,,cierre_calle,0.1,True
46,4409.0,,cierre_calle,0.1,True
64,448969939.0,,cierre_calle,0.1,True
68,450426174.0,,cierre_calle,0.1,True
69,450426177.0,,cierre_calle,0.1,True
70,450505893.0,,cierre_calle,0.1,True
127,5683.0,,cierre_calle,0.1,True
132,4135.0,,cierre_calle,0.1,True
135,305802801.0,,cierre_calle,0.1,True
160,1264696068.0,,cierre_calle,0.1,True
166,2306.0,,cierre_calle,0.1,True
183,2324.0,,cierre_calle,0.1,True
212,8000627.0,,cierre_calle,0.1,True
224,625500135.0,,cierre_calle,0.1,True
244,4496.0,,cierre_calle,0.1,True
247,4499.0,,cierre_calle,0.1,True
252,4506.0,,cierre_calle,0.1,True
256,4879.0,,cierre_calle,0.1,True
262,250118219.0,,cierre_calle,0.1,True
274,3010.0,,cierre_calle,0.1,True
277,4504.0,,cierre_calle,0.1,True
290,585989490.0,,cierre_calle,0.1,True
295,8269509.0,,cierre_calle,0.1,True
298,1164567256.0,,cierre_calle,0.1,True
311,4482.0,,cierre_calle,0.1,True
321,5390.0,,cierre_calle,0.1,True
332,32.0,,cierre_calle,0.1,True
27647,255.0,,trafico,0.1,True
27658,2517.0,,trafico,0.1,True
27671,4949.0,,trafico,0.1,True
27673,1568.0,,trafico,0.1,True
27676,4409.0,,trafico,0.1,True
27697,450425045.0,,trafico,0.1,True
27704,929792382.0,,trafico,0.1,True
27708,1299453244.0,,trafico,0.1,True
27732,3814.0,,trafico,0.1,True
27744,4094.0,,trafico,0.1,True
27754,5679.0,,trafico,0.1,True
27757,5683.0,,trafico,0.1,True
27764,5264.0,,trafico,0.1,True
27775,188500113.0,,trafico,0.1,True
27797,2307.0,,trafico,0.1,True
14011,450287426.0,,seguridad,0.143629723275741,True
14022,25298420.0,,seguridad,0.143629723275741,True
14030,1292403620.0,,seguridad,0.143629723275741,True
